city,target_datetime,date,time,tier,target,source,value,p10,p90,forecast_taken,hours_ahead,error
Cardiff,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,25.19,,,,,
Glasgow,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,19.31,,,,,
Aberdeen,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,15.14,,,,,
London,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,28.11,,,,,
London,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,24.79,,,,,
Glasgow,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,19.71,,,,,
Aberdeen,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,13.95,,,,,
Cardiff,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,29.11,,,,,
London,2026-05-23 13:00:00,2026-05-23,13:00:00,Observed,Temperature,Observation,28.49,,,,,
London,2026-05-23 22:00:00,2026-05-23,22:00:00,Observed,Temperature,Observation,20.54,,,,,
London,2026-05-23 08:00:00,2026-05-23,08:00:00,Observed,Temperature,Observation,22.58,,,,,
London,2026-05-23 17:00:00,2026-05-23,17:00:00,Observed,Temperature,Observation,27.78,,,,,
London,2026-05-26 02:00:00,2026-05-26,02:00:00,Observed,Temperature,Observation,19.78,,,,,
London,2026-05-26 11:00:00,2026-05-26,11:00:00,Observed,Temperature,Observation,32.8,,,,,
London,2026-05-26 20:00:00,2026-05-26,20:00:00,Observed,Temperature,Observation,26.89,,,,,
London,2026-05-23 03:00:00,2026-05-23,03:00:00,Observed,Temperature,Observation,18.12,,,,,
London,2026-05-23 12:00:00,2026-05-23,12:00:00,Observed,Temperature,Observation,27.36,,,,,
London,2026-05-23 21:00:00,2026-05-23,21:00:00,Observed,Temperature,Observation,21.86,,,,,
London,2026-05-25 08:00:00,2026-05-25,08:00:00,Observed,Temperature,Observation,28.14,,,,,
London,2026-05-25 17:00:00,2026-05-25,17:00:00,Observed,Temperature,Observation,32.04,,,,,
London,2026-05-26 15:00:00,2026-05-26,15:00:00,Observed,Temperature,Observation,34.13,,,,,
London,2026-05-23 07:00:00,2026-05-23,07:00:00,Observed,Temperature,Observation,21.4,,,,,
London,2026-05-23 16:00:00,2026-05-23,16:00:00,Observed,Temperature,Observation,28.76,,,,,
Newcastle,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,14.38,,,,,
Manchester,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,22.41,,,,,
Birmingham,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,24.18,,,,,
Leeds,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,16.95,,,,,
Bristol,2026-05-27 12:00:00,2026-05-27,12:00:00,Observed,Temperature,Observation,26.58,,,,,
Manchester,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,23.25,,,,,
Birmingham,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,24.4,,,,,
Leeds,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,17.53,,,,,
Bristol,2026-05-27 16:00:00,2026-05-27,16:00:00,Observed,Temperature,Observation,29.9,,,,,
London,2026-05-27 05:00:00,2026-05-27,05:00:00,Observed,Temperature,Observation,19.62,,,,,
London,2026-05-27 23:00:00,2026-05-27,23:00:00,Observed,Temperature,Observation,16.34,,,,,
London,2026-05-26 10:00:00,2026-05-26,10:00:00,Observed,Temperature,Observation,31.83,,,,,
London,2026-05-23 02:00:00,2026-05-23,02:00:00,Observed,Temperature,Observation,18.45,,,,,
London,2026-05-23 11:00:00,2026-05-23,11:00:00,Observed,Temperature,Observation,26.68,,,,,
London,2026-05-28 06:00:00,2026-05-28,06:00:00,Observed,Temperature,Observation,19.66,,,,,
London,2026-05-24 17:00:00,2026-05-24,17:00:00,Observed,Temperature,Observation,30.67,,,,,
London,2026-05-28 01:00:00,2026-05-28,01:00:00,Observed,Temperature,Observation,15.82,,,,,
London,2026-05-28 10:00:00,2026-05-28,10:00:00,Observed,Temperature,Observation,28.92,,,,,
London,2026-05-27 04:00:00,2026-05-27,04:00:00,Observed,Temperature,Observation,18.82,,,,,
London,2026-05-22 17:00:00,2026-05-22,17:00:00,Observed,Temperature,Observation,26.3,,,,,
